,animal_id,time,Plate.ID,species,0.00390625,0.0058594,0.0078125,0.011719,0.015625,0.0234375,0.023438,0.03125,0.046875,0.0625,0.09375,0.125,0.1875,0.25,0.375,0.5,1,npar,Infl.logX,Infl.propY,Prop.BottomAsym,Prop.TopAsym,Log.Xinfl,Log.Slope,Asym.Coef,gof,wgof,stdErr,wstdErr
33,iguana4,0,IG4,iguana,NA,0.01502971,NA,0.006354572,NA,NA,0.028486543,NA,0.982174065,NA,0.983222649,NA,NA,NA,NA,NA,NA,5,-1.574123115,0.383204071,0.010690207,0.983220164,-1.662305772,12.12269698,11.72226724,0.999966409,0.999999652,0.003541614,0.000624288
34,iguana4,30,IG4,iguana,NA,0.008912967,NA,0.025865082,NA,NA,0.013631597,NA,0.980863335,NA,0.970989165,NA,NA,NA,NA,NA,NA,5,-1.579857111,0.370718838,0.014585145,0.97592575,-1.632255073,35.33000131,70.99374378,0.999810906,0.999974575,0.008348043,0.00530201
35,iguana4,60,IG4,iguana,NA,0.033205173,NA,0.020447396,NA,NA,0.021321216,NA,0.997116393,NA,0.99528137,NA,NA,NA,NA,NA,NA,5,-1.612180056,0.382018186,0.023363506,0.996198382,-1.641986348,79.38468669,232.3609739,0.999901752,0.999990302,0.006088697,0.003313273
36,iguana4,120,IG4,iguana,NA,0.002796225,NA,0.002419413,NA,NA,0.00384481,NA,0.573226145,NA,0.994001938,NA,NA,NA,NA,NA,NA,5,-1.348006669,0.477037896,0.002588651,0.9960585,-1.360827793,8.37827216,1.280615825,0.999999912,0.999999994,0.000155463,7.24E-05
37,iguana4,240,IG4,iguana,NA,0.016427822,NA,0.004543866,NA,NA,0.031632296,NA,0.029272981,NA,0.991695385,NA,NA,NA,NA,NA,NA,4,-0.940189368,2.35076082,0.016500146,4.685021493,-0.940189368,6.583818352,1,0.999512727,0.999992532,0.011074569,0.002374698
38,iguana5,0,IG5,iguana,NA,0.063858414,NA,0.01469675,NA,NA,0.09939281,NA,0.079900642,NA,0.972572966,NA,NA,NA,NA,NA,NA,4,-0.919617266,2.55508438,0.062696898,5.047471861,-0.919617266,6.006238498,1,0.994526389,0.999936232,0.03479779,0.00650543
39,iguana5,30,IG5,iguana,NA,0.010039329,NA,0.008486856,NA,NA,0.049886152,NA,0.032550197,NA,0.977747878,NA,NA,NA,NA,NA,NA,4,-1.011765409,1.115574968,0.016797048,2.214352888,-1.011765409,6.745998729,1,0.998349483,0.999961778,0.019999226,0.005271333
40,iguana5,60,IG5,iguana,NA,0.028669013,NA,0.039881322,NA,NA,0.101117781,NA,0.35175602,NA,0.97412544,NA,NA,NA,NA,NA,NA,4,-1.05054222,0.919957253,0.025273466,1.81464104,-1.05054222,2.338425558,1,0.999998583,0.999999924,0.000548896,0.00022055
41,iguana5,120,IG5,iguana,NA,0.020389153,NA,0.028496516,NA,NA,0.007451873,NA,0.368660733,NA,0.957393224,NA,NA,NA,NA,NA,NA,5,-1.318081606,0.418445284,0.020038366,0.969331336,-1.39415039,6.538801098,3.143392767,0.999656947,0.999996216,0.008763423,0.001594252
42,iguana5,240,IG5,iguana,NA,0.033153936,NA,0.036086387,NA,NA,0.047298696,NA,0.082488098,NA,0.964810598,NA,NA,NA,NA,NA,NA,4,-1.011266298,1.06736336,0.03685279,2.09787393,-1.011266298,5.176020492,1,0.999853809,0.999996386,0.005719918,0.001557597
43,iguana6,0,IG6,iguana,NA,0.012474012,NA,0.025727651,NA,NA,0.020010395,NA,0.07952183,NA,0.993762994,NA,NA,NA,NA,NA,NA,5,-1.061748571,0.834354773,0.01876671,1.715884966,-1.081760057,4.606317617,1.236457696,0.999881311,0.999999384,0.005407304,0.000674789
44,iguana6,30,IG6,iguana,NA,0.036902287,NA,0.040280665,NA,NA,0.003118503,NA,0.038201663,NA,0.989085239,NA,NA,NA,NA,NA,NA,5,-0.986902441,1.379276391,0.031381578,3.063200248,-1.050843287,4.693286319,1.995688219,0.998767122,0.9999892,0.017408,0.002822046
